Date,User,Tweet
2022/01/01,btc_status,bitcoin network status price 46 244 pooled tx 33 avg block 9 min 42 s 3 hash rate 180 99 eh s difficulty 24 2 t ftx btc hash
2022/01/01,scottmelker,btc bitcoin just closed yearly candle happy new year best part we have confirmed bullish divergence 4 hour chart with rsi coming out oversold potential 6 12 hour up only probably should see 50ks again this week with trip overbought
2022/01/01,Ranz_io,btc price dipped below 46 000 after seeing highs north 48 500 earlier day leading altcoins also turned lower
2022/01/01,THUGERHUGGER,yearly close 46 214
2022/01/01,SketoMqnia2224,thanks keeping up date with bitcoin ben bitcoin is plus 1 2022 can it add 1 zero this year too
2022/01/01,bitoco_in,btc big chance billion price 5500557 0 2022 01 01 08 58
2022/01/01,akuma0917,rdx will be bitcoin this project
2022/01/01,indodeutsch,this is what is doing
2022/01/01,BackroadTech,bitcoin price reverses gains new year s eve hodlers continue stacking sats
2022/01/01,Georgeleonel363,happy new year everyone
2022/01/01,TomCatonthePiss,more bitcoin less everything else 70 but depends risk tolerance surprised not see sol im going some near as long shot with big potential profit
2022/01/01,biciclopi,bitcoin casino bonus latest cryptocurrency bonuses by bitcoincasinos club
2022/01/01,upstreamdatainc,2021 was pivotal year upstream data over 150 portable mines shipped across n motor fabrication shop expansions 40 employees counting plebs thank you following our journey so far heres prosperous 2022
2022/01/01,bitinfonews,microstrategy stays one step forward with 94m bitcoin buy
2022/01/01,btc_status,bitcoin spot exchanges outflow price 46 286 unconfirmed tx 33 spot exchanges inflow 60 btc outflow 36 btc coinbase pro inflow 1 btc outflow 10 btc
2022/01/01,cryptojohnsmith,prediction result sell 0 1btc 46 307 98 usdt it was bought 46 195 49 usdt 4 min ago at binance trade profit 11 25 usdt daily profit 82 70 usdt monthly profit 82 70 usdt
2022/01/01,rclarkbruce,btc closes at 46 211 59 40 gainer eth 3675 398 30 2022 here we come
2022/01/01,allanraicher,happy 2022
2022/01/01,christoveur,bitcoin baller
2022/01/01,smorffer,nascar driver who inspired lets go brandon is partnering with cryptocurrency named after chant
2022/01/01,smorffer,bitcoin has plunged 32 its all time high this year but investors can take advantage tax loophole while they wait cryptocurrencys comeback
2022/01/01,mysticryuujin,you dont always have be bitcoin maxi
2022/01/01,ForeignSwag,what happened bitcoin going 100k by eoy
2022/01/01,moon_dot_gov,its 2022 now let s stack harder than last year
2022/01/01,andypollin1,nick saban just said that brian robinson increased his value alabama players are like bitcoin
2022/01/01,ramdzan_yusof,well asia still sand box
2022/01/01,Bitcoin_Rambo1,damn way deliver fucking impressed thank you i was seriously curious it looks delicious
2022/01/01,0x_EQ,bitcoin bart
2022/01/01,blkcrypto,we all lovvvve amp butttt theres alot great tokens up ant cra flux avax sxp
2022/01/01,Blockspot_,this is what blockchain tech looks like
2022/01/01,cryptojohnsmith,bitcoin price prediction price fall 10 min sell 0 10 btc 46 350 59 usdt at binance
2022/01/01,TUnderground_,there is no such utility trade off its trade off stability bitcoin doesnt want risk its stability by allowing experimental coins fill their blocks rather they let other blockchains experiment if needed bitcoin can adopt successful useful utility
2022/01/01,crotchski,let all hope that crypto currency nfts will crash burn at least few years since they sucks ass
2022/01/01,Christian_2880,yearly bitcoin close 46 220 hodl
2022/01/01,BTCBrisket,yes we re still unbelievably early amp future is very much uncertain bitcoin is least my concerns
2022/01/01,DoctorBaggins,happy new year
2022/01/01,MJG7668PHL,happy new year bitcoin time course
2022/01/01,Chain_Gainzz,i d rather risk everything going 10x 20x than play it safe with 2x bitcoin i m came here life changing money not extra money
2022/01/01,AMabryArmani,my goal is learn wtf is big coin nft cryptocurrency is
2022/01/01,BSVBro,most people overestimate how much bitcoin is actually btc
2022/01/01,ExchangeWhales,2 501 453 btc perp shorted 46 364 0 02 50 utc
2022/01/01,ExchangeWhales,1 556 533 eth perp shorted 3 693 0 02 50 utc
2022/01/01,ExchangeWhales,513 985 atom perp longed 32 96 0 02 52 utc
2022/01/01,gauravs850,so even if you dont want buy because lesser returns as compared other atleast dont sell your buy other because other cant go up if keeps falling is that right
2022/01/01,nextdoor2you,you need send me 4 bitcoin right now i ll send you real cure covid
2022/01/01,CryptoBotPrice,bitcoin 46288 0 40696 0 ethereum 3680 9 3236 25 chainlink 19 58 17 22 solana 170 06 149 52 litecoin 146 29 128 62
2022/01/01,FindCoinAction,impulse bar 46205 46372 55 btc bar close 46345 08 short term volatility detection
2022/01/01,stocksera_bot,most mentioned tickers r cryptocurrency last 6h 1 btc 206 2 eth 63 3 algo 36 4 lrc 35 5 matic 33 6 atom 26 7 cro 21 8 avax 17 9 ftm 14 10 luna 10
2022/01/01,AlchemistBreuu,stack everyday
2022/01/01,PenkeTrading,i found you death cross daily chart basic basic basic cc
2022/01/01,bmurphypointman,purchases over 25 at
2022/01/01,Soizers1,bitcoin maximalist right here
2022/01/01,CryptoWombat,new binance says it wont allow ontario users its cryptocurrency platform trade or open new accounts after meeting friday with ontario securities commission via
2022/01/01,cryptoalerts911,best cryptocurrency tax software complete guide top options
2022/01/01,runlevel__5,first we need educate people use crypto as alternative mean payment we were trying hard initially early days bitcoin but unfortunately it failed achieve that goal
2022/01/01,WClementeIII,bitcoins 2021 yearly candle books thanks everyone amazing year wish blessings success you all as we head into 2022
2022/01/01,ch85sports,actually opposite bitcoin
2022/01/01,Not_a_normal_K,happy new year guys hope see new items 2022
2022/01/01,indodeutsch,come let s pump
2022/01/01,kruch1337,never forget 2013 bitcoin holiday lunch soho
2022/01/01,MarketsScience,btc daily summary december 31 2021
2022/01/01,masterltcbtcbot,current ltcbtc ratio is 0 00316438 litecoin is oscillator bitcoin amp next peak cycle we expect ltcbtc ratio peak around 025 at todays bitcoin price we expect litecoins price be 463 at 010 695 at 015 927 at 020 1159 at 025 2898 at 0625 max
2022/01/01,ExchangeWhales,2 447 245 btc perp shorted 46 375 0 03 21 utc
2022/01/01,ExchangeWhales,506 045 sushi perp shorted 9 46 0 03 24 utc
2022/01/01,cryptonewsmtl,cryptocurrency welcome 22
2022/01/01,eth_revolution,polygon is shit there are better l2s
2022/01/01,RaceCapital,2021 was blockbuster year venture investing crypto was 2022 tech predictions no more unicorns 2022 will be year decacorn this number will grow 45 100 price reach 100 000 is here stay
2022/01/01,CryptoCapflow,by 2021 12 31 14 00 gmt omg total trading volume 13 919 226omg with price change 0 2 last 24 hrs omg
2022/01/01,ExchangeWhales,1 011 900 btcusd shorted 46 306 5 0 03 36 utc
2022/01/01,Bitcoin8News,btc price is at 46 314 26 right now compared last tweet price has dropped by 80 94 0 17 last 24 hours price has dropped by 937 21 1 98
2022/01/01,Cryptonurse69,my new years resolution is simple be ruthless cut throat world cryptocurrency cheers being filthy rich 2022
2022/01/01,hangpedos2,bitcoin legal tender fuck your slavery plastic
2022/01/01,BotcoinUSD,01 01 2022 at 12 03 1btc was worth 46364 00
2022/01/01,BrandonBaletsa,coin perspective says 1 hbar would be worth 23 60 if it reached ethereums market cap think it could one day flip bitcoin as well which would make it 50ish but if that ever does happen it won t be while imo
2022/01/01,Fodenbxrner,i have been robbed my bitcoin trust wallet has been hacked ffs all my money is gone pls help
2022/01/01,SatsforLife,best friend best man at my wedding stacked his first sats today happy new years indeed
2022/01/01,ablidy,mesoblast got agreement end point their msc product by fda today when product launches it could do better then bitcoin 60 increase did 2021 it is product treat gvshd children beginning regenerative medicine
2022/01/01,Tariusishere,yearly closes 3675 46211 19 51 2 52 64 109 4 169 88 32 43 16 98 5 32 lets check back 365 days yall
2022/01/01,GoCryptoCrunch,since 2018 bitcoin always spikes 7 36 first week january
2022/01/01,Cryptotoker1,national bureau economic research top 1 bitcoin holders own 27 btc supply
2022/01/01,bitcoinpressuk,decentraland new year s eve bash recreate one times square paris hilton dj roblox metaverse bitcoin news
2022/01/01,CryptoTraderPro,btcusd bitcoin price prediction btc usd breakdown below 45 000 looms insidebitcoins bet with btc via
2022/01/01,cryptoify,sec appoints new senior advisor oversight
2022/01/01,CryptoTraderPro,btcusd bitcoin slides into 2022 dropping record high november seeking alpha bet with btc via
2022/01/01,bmurphypointman,member deals
2022/01/01,Cryptotoker1,bitcoin will help save free market increasing state control forbes
2022/01/01,bitnewsCH,gas dao project forms airdrop tokens ethereum users that spent 1 559 fees altcoins bitcoin news new type airdrop has been very popular during last quarter 2021 as quickly assembled decentralized autonomous
2022/01/01,BinanceKiller,tax tax tax end year tax selling positioning low volume buying opportunity
2022/01/01,JWWeatherman_,don t end another year bsl bitcoin second language
2022/01/01,Bitcoin_Rambo1,what beautiful pair happy new years er
2022/01/01,MuatafaGMI,stop wasting your time buy
2022/01/01,CryptoCapflow,by 2021 12 31 14 00 gmt xtz had price change 0 1 with net cap flow 10m last 24 hrs xtz
2022/01/01,jtcyberfm,happy nee years reset
2022/01/01,EaglesOfManwe,when someone texts me why is bitcoin down or interested your thought bitcoin correction i just tell them sell
2022/01/01,arni1718,we will see 100k
2022/01/01,twbitcoins,bitcoin white paper have you ever read it via
2022/01/01,crypto5678,happy new year 2022 is crashing down exactly as predicted my earlier tweet
2022/01/01,WillsonToms,how tell that youre deep into crypto youre disappointed that only went up 70 this year
2022/01/01,SleeplessBKK,are you fooling people bitcoin starter 2021 at 28 000 finished at 46 000 that is 63 change gold started 2021 at 1 980 finished at 1 830 that is 4 83 change
2022/01/01,CryptoCryptoNe3,microstrategy remains one step ahead with 94m bitcoin purchase crypto crypto news
2022/01/01,Bitfinexed,times up bitfinex tether decided not make bitcoin break 100k 2021 with their fraud bucks maybe they ll inflate market again just before more criminal investigation news like they did back july
2022/01/01,TrystineAnn,just call it peaceful protest when you bring them over
2022/01/01,Crypto_Stuey,happy new year everyone may all your aims amp wishes come true 2022 if they don t at least make sure you stay safe work hard amp be kind aim 10x my portfolio no doubt it will be bumpy ride
2022/01/01,BenzoSniper,send this shit 54k
2022/01/01,AaronTolentinoT,happy new year all our world is rule by arrogant stupid people but we are getting close new renaissance we have light this dark road we have hope we have
2022/01/01,btc_blockbot,btc latest block info block 716599 holds 962 transactions total 1 792 90456 bitcoin including block reward block size 1 426 751 bytes
2022/01/01,satsleft,new block was found network were at block height 716599 current price is 46316 24 there are 208372497690011 left mine
2022/01/01,thehigherlow,happy new year community together we make billions gain new ground
2022/01/01,Man_Bear_Pleb,fix money fix world
2022/01/01,CoruzantPod,5 steps you need take before investing crypto
2022/01/01,aha2020aha,project is presented by competent team that has good potential implementation objectives key success excellent idea
2022/01/01,SassOfficial,my dream cryptocurrency class with sass
2022/01/01,MarkGarvin18,store value investments are made long term years if not decades how does gold compare bitcoin over last decade
2022/01/01,FrDsign,get your introduction bitcoin infrastructure with bitcoin sv academy new course coingeek
2022/01/01,Mr_Bitcoin_INU,ding dooong
2022/01/01,desertHODL,getting ready annual new years eve party where last year told everyone that this time next year i ll be rich
2022/01/01,neoredpill21,happy new year celebratory stack
2022/01/01,daily_btc_eur,open 41 632 00 close 40 687 00 2 26 high 42 940 00 3 14 low 40 166 00 3 52 volume 487
2022/01/01,Cr_saskatchewan,owning is trying stand up someone hits you head with brick good night happy new year degens
2022/01/01,amrahs256,congrats yearly monthly weekly daily opening candles
2022/01/01,TGr2047,happy new year my world colleagues hope our king makes new ath very soon
2022/01/01,coinhippoHQ,todays fear amp greed index is 28 fear
2022/01/01,btc_fan,bitcoin treasuries list claims 59 companies handful countries hold 1 49 million btc via r bitcoin
2022/01/01,CardanoSurfer,just remember youre all still so early crypto universe dyor quit buying coffee start investing buy dips take profits way up
2022/01/01,fixtheblock,supply exchange wallets exchanges
2022/01/01,machinfographic,2021 year open 28 976 high 69 000 low 27 741 close 46 198 60 roi open close 148 amplitude
2022/01/01,TheTorontoSun,first lgbt cryptocurrency bets changing world
2022/01/01,Bitcoin_Rambo1,bots atrillion
2022/01/01,Wade_Wilson_77,head down ignore noise grind harder this year make plan execute plan see results make adjustments remember this isnt race beat twittards its building you into who you want see further down road patience is key
2022/01/01,LuxurySkyCondos,enjoy resort style living at oceanic stunning 2 2 apartment with beautiful views full amenities restaurants pool spa tennis racquetballs basketball courts valet parking sorry no
2022/01/01,coinpushapp,graph squeeze bitcoin btcusdt 46 428 84 get app know when it breaks
2022/01/01,CryptoCapflow,by 2021 12 31 16 00 gmt zil futures had price change 0 47 with total open interest 13 83m last 24 hours
2022/01/01,trader_blitz,btc usd btcusd btc usd bitcoin crash long or short it with btc trade8
2022/01/01,FindCoinAction,impulse bar 46268 25 46422 94 btc bar close 46413 83 short term volatility detection
2022/01/01,CryptoCapflow,by 2021 12 31 14 00 gmt ada total trading volume 399 225 485ada with price change 0 1 last 24 hrs ada
2022/01/01,hodludek,happy new year
2022/01/01,bmurphypointman,purchases over 25 at
2022/01/01,LulzAndOrder,peter owns bitcoin
2022/01/01,SN00114,ok nice now can u pump plz
2022/01/01,CryptoPriceLTC,litecoin overview 24 hour average ltc price across exchanges 146 42 change 2 3433 1 58 high 152 31 low 144 14 volume 96 03m market cap 10 15b view more details at
2022/01/01,leon_texas,don t forget that ravencoin halving is quickly approaching only 10 days until rvn halving next year there will be 1 3 billion less rvn entering market ravencoin has halving every 4 years just like
2022/01/01,BigTexCoinz,bitcoin goes up
2022/01/01,urbexxers,us target crypto ransomware payments with sanctions slashdot
2022/01/01,ChrisRu72626794,happy new year my brother stay safe tonight talk you new years bro 2022 big year cryptocurrency my dude
2022/01/01,FakeHackersList,bitcoin lengthening cycle theory bitstamp via
2022/01/01,PeterMillenial,linguistics bitcoin is scare mintages crypto are not
2022/01/01,PMArmstrong4,exercise more get my back shape golf plus get more bitcoin
2022/01/01,AlchemistBreuu,220 22 i like
2022/01/01,CryptoCapflow,by 2021 12 31 16 00 gmt rvn futures had liquidiation short positions 42 56k long positions 52 17k last 24 hours
2022/01/01,KaranMa66559013,theres only few our left new year some analyst were saying bitcoin will hit 100k this year end
2022/01/01,CryptoPriceBot_,btc 46 288 49 change 1 82 eth 3 682 63 change 0 84 solana 170 23 change 1 45 ada 1 31 change 3 58 follow hourly update
2022/01/01,Extroz2Saucy,2022 goals become billionaire get million followers become tiktoker own food franchise have at least 20 bitcoin by end year become rapper cut all ties with fakes
2022/01/01,cryptojohnsmith,loss cut prediction result buy 0 1btc 46 492 73 usdt it was sold 46 350 59 usdt 4 min ago at binance trade profit 14 21 usdt daily profit 96 91 usdt monthly profit 96 91 usdt
2022/01/01,ExchangeWhales,923 644 btcusdt longed 46 475 00 0 06 41 utc
2022/01/01,Cryptomato10,its not even 2 half it owned by maxi king michael s we can clearly say institutions dont give f about it is understandable
2022/01/01,ln86_jb,bitcoin changed my life
2022/01/01,Zeeshanb01,you name it has it
2022/01/01,html5test,zombie mozilla begging bitcoin
2022/01/01,yaneznaiu1,little know fact soviet union vodka was original bitcoin
